LA,B1,B2,B3,B4,B5,B6,B7,B8,U1,U2,U3,U4,U5,U6,U7,U8,F1,F2,F3,F4,F5,H1,H2,H3,H4,H5,H6,H7,H8
Københa,1416,23,77,27,9,7,411,1968,3659,102,52,103,163,27,16,4122,211,34,138,32,351,0.13226069,0.123846478,0.118675039,0.036298139,0.116025576,0.049937727,0.164466136,0.013347019
Frederik,1963,39,446,83,15,21,2303,4870,4062,93,61,297,300,38,107,4958,381,61,144,33,553,0.104135753,0.103878933,0.102442644,0.032235666,0.112011566,0.04376403,0.185424038,0.016236731
Dragør,3731,74,293,158,59,21,8623,12959,3919,200,60,55,309,53,11,4607,507,56,214,20,757,0.13834186,0.073305768,0.178639008,0.040086902,0.09902586,0.011843857,0.081645525,0.005746724
Tårnby,2757,104,471,141,44,19,5432,8968,5055,251,212,254,582,115,16,6486,535,90,155,19,760,0.188261505,0.064517626,0.244006591,0.035670357,0.079509852,0.009004618,0.048063311,0.00334192
Albertsl,3381,101,524,121,42,65,5094,9328,4536,189,119,447,359,103,55,5809,615,51,194,51,809,0.222709464,0.080155278,0.176593221,0.031990223,0.09924158,0.011322382,0.045253585,0.003127134
Ballerup,2623,147,296,193,59,28,2951,6297,5222,249,235,136,594,128,75,6638,453,102,190,68,677,0.187299152,0.061845624,0.206539091,0.033151577,0.09298613,0.008811395,0.058072274,0.007733295
Brøndby,2217,69,159,155,33,11,4136,6780,3130,198,89,53,326,45,12,3853,300,71,59,4,426,0.230344983,0.067730317,0.21160448,0.031909505,0.075862457,0.009679779,0.041420451,0.002701334
Gentofte,5182,188,365,285,40,27,4805,10890,7667,369,323,350,1228,77,33,10046,474,89,285,266,581,0.112509555,0.087522075,0.093096813,0.032815836,0.111336619,0.022667967,0.178365271,0.019188698
Gladsaxe,2218,57,467,130,35,25,3271,6202,5054,202,94,372,505,87,62,6376,547,72,197,25,791,0.15720392,0.077601716,0.169321992,0.034454471,0.109551977,0.016723515,0.103104356,0.013658017
Glostrup,3812,99,299,115,36,19,10569,14949,4409,211,91,185,232,60,20,5208,383,59,118,18,542,0.18331271,0.066333746,0.231041188,0.038668906,0.09086088,0.010473749,0.053120028,0.004065759
Herlev,3309,53,801,122,34,32,12373,16723,4421,179,101,266,275,74,27,5344,407,89,211,19,688,0.182827717,0.069712044,0.208190289,0.033945211,0.095635115,0.009878792,0.05801163,0.007006236
Hvidovre,2430,67,534,102,24,28,2558,5743,5504,220,142,243,581,101,54,6845,445,68,100,16,597,0.188774552,0.071205919,0.216697337,0.036729635,0.089965073,0.013764224,0.057009802,0.004750817
HøjeTaa,1796,45,196,68,16,20,3163,5304,3588,199,98,99,205,41,31,4262,330,70,261,8,654,0.211743279,0.070020192,0.216633013,0.038068654,0.082393,0.008750049,0.047254227,0.004869937
Ishøj,2092,79,226,208,55,21,5216,7897,3254,167,100,48,333,118,25,4045,384,82,108,27,547,0.245784922,0.07159081,0.210317114,0.033065432,0.073993186,0.01008998,0.0382633,0.003407006
LyngbyTa,3416,85,435,111,29,23,4108,8207,5413,157,124,255,359,55,22,6384,442,74,172,32,656,0.118639812,0.084294349,0.116200656,0.031206844,0.112380508,0.023064369,0.152877666,0.020732823
Rødovre,3117,101,509,111,39,32,3559,7469,4503,213,111,144,361,89,48,5468,354,82,102,17,520,0.183317565,0.069118061,0.214207175,0.03380469,0.096632316,0.013015573,0.062418493,0.006060296
Vallensb,2879,98,284,126,41,18,8078,11524,2567,126,67,53,213,59,15,3101,178,55,93,7,319,0.156945917,0.073420248,0.206350196,0.042542574,0.093194436,0.012974861,0.065186202,0.004865573
